,NTNF 0.5y,NTNF 1y,NTNF 1.5y,NTNF 2y,NTNF 3y,NTNF 4y,NTNF 5y,NTNF 6y,NTNF 7y,NTNF 8y
2019-11-11 00:00:00,417.9088259125724,459.1196233038963,500.2635526679569,539.1678032414661,587.9292340281894,598.9458535779737,634.2782748350323,688.5078916571028,706.9959682644952,777.5059284686381
2019-11-12 00:00:00,417.9683824788698,459.11666166771107,499.92191673143225,538.3670156706914,586.1445356147829,596.1572203787061,634.2944724707945,683.7065503240265,702.6131687963865,772.7010434394408
2019-11-13 00:00:00,418.0393033198387,459.0440480924209,499.6702527480544,537.941030875134,585.8037137774155,596.2097460317734,632.6784697976747,684.7821711408594,704.0620948083535,774.3039219860127
2019-11-14 00:00:00,418.11207605070655,459.10787213977306,499.5077708081821,537.8121723557879,585.5434789827536,596.1846828964749,633.3311229398521,685.1933398322342,704.9096483581303,775.247672066828
2019-11-18 00:00:00,418.18034868934444,459.1403427368731,499.38176490471324,537.4895088640425,584.5654552593824,595.223697509097,634.4649053408315,684.14776642236,703.7512304038279,773.9713975758876
2019-11-19 00:00:00,418.24435549848187,459.1816237148085,499.5646709159777,537.6231752615969,585.062281770294,595.1920351260859,632.5503055014357,682.9924369289714,702.0643891866822,772.1025947371242
2019-11-20 00:00:00,418.3181310936361,459.30278069308247,499.64599100109456,537.835562175281,585.2829204235746,595.7401550114357,632.8702754846441,684.8046252448637,705.5142828732149,775.9401448657221
2019-11-21 00:00:00,418.3594427962931,459.15642615825107,499.20301429955185,536.5905553078227,583.3598760736519,593.0787237883396,630.4151556915139,679.953977586942,698.5009285214062,768.17157966686
2019-11-22 00:00:00,418.4882831096781,459.44847180438575,499.7618066284158,537.5502913779634,584.2821880034701,594.1806338545748,630.8438494458752,681.5290061731914,700.3266595186802,770.1851113640157
2019-11-25 00:00:00,418.5551417900527,459.56928086951547,499.776405085747,537.2995753884979,583.554260558849,592.7398376047224,631.2054292140942,679.0842653739234,698.0389007672807,767.6752977932191
2019-11-26 00:00:00,418.5722451611249,459.3641719064657,499.34937954207703,536.6318627540539,583.0442225482568,591.8877421685173,625.8049583694483,677.0293036589759,695.6911315835042,765.0868625835037
2019-11-27 00:00:00,418.63818293973924,459.3828332005676,499.40195008131485,536.8392022187763,583.0841832764733,591.9058284561316,627.0431594301467,676.5153538234081,695.0651097339482,764.3957105791013
2019-11-28 00:00:00,418.76828153820594,459.5669541941185,499.9032443023597,537.6324130581359,584.7988569208343,593.7577214804016,625.4776336536961,678.8805041827165,696.9839580755774,766.491943331074
2019-11-29 00:00:00,418.8338741522699,459.7344799693845,499.9445263554763,537.7512551619463,584.9385246575612,594.1244694241346,629.886376455896,679.84750337931,698.4292899233537,768.0938305077533
2019-12-02 00:00:00,418.8896322295986,459.70414329457634,499.6558260089074,537.3158683464097,584.0184415508157,593.1634380533849,628.6453125251101,678.7968734454117,698.3406162730174,768.0234766832053
2019-12-03 00:00:00,419.0078949342484,459.87183244432975,499.9542149941718,537.7376243996521,585.0487878610907,594.6876090258412,629.7029645075752,682.0776421033452,701.8599200684503,771.8978938828045
2019-12-04 00:00:00,419.128570232153,460.09898113528584,500.373314032452,538.3555673069138,586.3694915399589,596.353791242449,631.832378060305,684.5382614094328,703.7773868313674,773.9898800297028
2019-12-05 00:00:00,419.187387654827,460.0872754211681,500.27159782520437,538.179697841633,585.9447594511529,595.9478630918917,632.2926351501684,683.2145981416077,702.822096903446,772.9503980458363
2019-12-06 00:00:00,419.3359400666595,460.39114303578003,501.0755223674266,539.3812845390435,588.0704050654577,598.3030926065566,633.1704551307776,685.6383178211235,705.4446980272055,775.838226343934
